function_name,timestamp,duration_seconds,pid,arguments,return_value
"__hipPushCallConfiguration","12:29:48.416799","0.000961","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.417850","0.000954","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.418865","0.000987","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.420888","0.000959","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.421897","0.000947","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.422897","0.000948","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.424882","0.023792","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.448861","0.001007","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.449936","0.004239","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.455330","0.000879","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.456288","0.000889","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.457240","0.000867","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.536423","0.000969","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.537450","0.000953","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.538447","0.000923","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.540294","0.000893","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.541237","0.000876","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.542156","0.000920","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.544116","0.001027","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.545278","0.000992","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.546321","0.000951","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.548250","0.000977","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.549305","0.001007","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.550360","0.030282","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.581836","0.001056","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.582968","0.000993","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.584011","0.001239","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.586245","0.000996","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.587379","0.001047","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"__hipPushCallConfiguration","12:29:48.600106","0.000970","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.601133","0.000964","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.602147","0.000968","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.603166","0.000951","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.604167","0.000951","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.605171","0.000961","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.606182","0.000927","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"hipLaunchKernel","12:29:48.633146","0.001018","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.634221","0.000914","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"hipLaunchKernel","12:29:48.709955","0.001010","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.741568","0.001178","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.742816","0.000939","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"__hipPopCallConfiguration","12:29:48.780724","0.030191","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.811054","0.001084","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.851081","0.023963","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.875194","0.001292","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"__hipPushCallConfiguration","12:29:48.878476","0.001768","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPushCallConfiguration","12:29:48.932667","0.000990","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.933712","0.000930","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"__hipPopCallConfiguration","12:29:48.954182","0.000978","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"__hipPopCallConfiguration","12:29:49.024023","0.001064","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:49.025237","0.001025","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"hipLaunchKernel","12:29:49.043211","0.001070","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.045463","0.001153","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.053799","0.001109","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.054953","0.001082","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.056961","0.000884","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.057899","0.000890","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.058835","0.000891","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.060612","0.000895","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.061560","0.000910","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.062514","0.000916","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.064336","0.000921","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.065310","0.000941","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.066295","0.000967","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.068243","0.000967","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.069264","0.000982","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.070295","0.000957","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.072206","0.000952","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.073208","0.000952","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
